SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs
65,101.23105166298,+40.09045123194,945331892513874304,175.6081389871,15.9204934265,1.9680,-3.725,-8.132,129,17.653065,2.272442,1.0,NGC_2281,Gaia DR2 945331892513874304,101.23107262716,+40.09048624472
66,102.07855715387,+40.76946197367,945468025797248128,175.2036495576,16.7728839569,1.8663,-3.138,-8.017,150,16.146477,1.671677,1.0,NGC_2281,Gaia DR2 945468025797248128,102.07857499365,+40.76949649131
67,102.09855968017,+40.63344924987,945453246813053696,175.3415051454,16.7367651541,1.7288,-2.641,-8.304,132,17.576513,2.168798,1.0,NGC_2281,Gaia DR2 945453246813053696,102.09857466384,+40.63348500320
68,101.93344064176,+40.64073968247,945459843882827520,175.2860204139,16.6230618502,2.1444,-2.610,-8.499,149,17.852633,2.303021,1.0,NGC_2281,Gaia DR2 945459843882827520,101.93345545117,+40.64077627539
69,101.96459435235,+40.86734371691,945472458203499392,175.0753964796,16.7288774481,1.9598,-2.976,-8.455,129,15.868654,1.599685,1.0,NGC_2281,Gaia DR2 945472458203499392,101.96461129614,+40.86738012038
70,101.95764621028,+40.86492629347,945472458203500160,175.0757141140,16.7231015667,1.9153,-2.906,-8.314,112,13.654941,0.956814,1.0,NGC_2281,Gaia DR2 945472458203500160,101.95766275492,+40.86496208986
71,101.94761552601,+40.86762242574,945472561282716032,175.0701703686,16.7170500403,1.8593,-3.116,-7.612,124,16.304615,1.769010,1.0,NGC_2281,Gaia DR2 945472561282716032,101.94763326696,+40.86765519963
72,101.75866900184,+40.53091294821,945458194615310208,175.3408747425,16.4590091016,1.7357,-3.199,-8.564,150,17.705984,2.210846,1.0,NGC_2281,Gaia DR2 945458194615310208,101.75868712352,+40.53094982099
73,101.83400380974,+40.40836387692,945444794317246592,175.4817302224,16.4664885349,1.8797,-3.078,-8.422,136,15.123239,1.316007,1.0,NGC_2281,Gaia DR2 945444794317246592,101.83402121419,+40.40840013831
74,101.99577528761,+40.81305795986,945469056589402624,175.1371716456,16.7307363195,1.8741,-3.012,-8.382,152,14.338324,1.111486,1.0,NGC_2281,Gaia DR2 945469056589402624,101.99579242232,+40.81309404903
75,101.88830040082,+40.90353562519,945473626434606976,175.0180160525,16.6886723075,1.7692,-3.240,-8.450,134,10.663364,0.303294,1.0,NGC_2281,Gaia DR2 945473626434606976,101.88831885778,+40.90357200713
76,101.62096409363,+40.58077334908,945438957458630528,175.2519185362,16.3805781414,1.9475,-2.885,-8.201,149,16.720236,1.878967,1.0,NGC_2281,Gaia DR2 945438957458630528,101.62098044874,+40.58080865894
77,102.60272175258,+40.28759751127,945381714134799488,175.8249751179,16.9662339045,1.9093,-2.966,-7.939,76,14.623605,1.152444,1.0,NGC_2281,Gaia DR2 945381714134799488,102.60273849372,+40.28763169307
78,101.86164909246,+40.41471479230,945444175841959936,175.4837651012,16.4883883277,1.7568,-3.536,-7.992,123,17.974127,2.361109,0.7,NGC_2281, ,101.86166908854,+40.41474920230
79,101.71167292648,+40.50172224792,945458228975026816,175.3552064309,16.4149682984,1.8388,-3.261,-7.997,158,15.792138,1.598292,1.0,NGC_2281,Gaia DR2 945458228975026816,101.71169139133,+40.50175667945
80,102.29693742633,+40.52477345515,945403154611307904,175.5050479861,16.8367472325,1.9000,-3.033,-8.660,152,17.886168,2.275652,0.9,NGC_2281, ,102.29695460608,+40.52481074126
81,101.95399333340,+40.73986682734,945467304242755072,175.1959489423,16.6742684369,2.0588,-2.485,-8.081,151,14.870311,1.487063,1.0,NGC_2281,Gaia DR2 945467304242755072,101.95400745454,+40.73990162053
82,102.36521896664,+40.44698832973,945399031442705792,175.6005842164,16.8564180147,1.9049,-2.940,-8.262,148,16.484894,1.820543,1.0,NGC_2281,Gaia DR2 945399031442705792,102.36523560032,+40.44702390223
83,101.89243542202,+40.82529828554,945470980734758528,175.0950921841,16.6626088621,1.9546,-2.891,-8.059,131,15.729994,1.537241,1.0,NGC_2281,Gaia DR2 945470980734758528,101.89245187142,+40.82533298401
84,102.14854933137,+40.52400605861,945448956142574464,175.4623504347,16.7316185083,1.8990,-2.936,-8.204,128,13.216830,0.835267,1.0,NGC_2281,Gaia DR2 945448956142574464,102.14856596149,+40.52404138139
85,101.05858082534,+41.02089325991,945699472994340608,174.6604421966,16.1513634467,1.8455,-2.737,-8.262,121,11.951969,0.639143,1.0,NGC_2281,Gaia DR2 945699472994340608,101.05859644466,+41.02092883241
86,101.12284641950,+40.85385837307,945647589789425536,174.8405489683,16.1332937604,2.0343,-2.701,-8.549,115,14.698954,1.262869,1.0,NGC_2281,Gaia DR2 945647589789425536,101.12286179445,+40.85389518126
87,101.02877950512,+40.92098139621,945695865221836800,174.7478986558,16.0927986714,1.8555,-2.651,-8.131,160,15.175558,1.354046,1.0,NGC_2281,Gaia DR2 945695865221836800,101.02879461077,+40.92101640468
88,101.76333749988,+41.13329566894,945667479781880704,174.7587575730,16.6861347285,1.7563,-2.593,-8.955,131,16.994009,2.005007,0.9,NGC_2281, ,101.76335232276,+41.13333422519
89,101.04213410694,+40.94740914737,945695899582239104,174.7263989626,16.1121256820,1.9305,-2.735,-8.034,124,12.099081,0.677770,1.0,NGC_2281,Gaia DR2 945695899582239104,101.04214969746,+40.94744373820
90,101.41650854379,+40.61252386229,945629099953584256,175.1606087542,16.2485571493,1.7259,-3.115,-8.345,161,17.664076,2.303497,1.0,NGC_2281,Gaia DR2 945629099953584256,101.41652621116,+40.61255979215
91,101.75912157173,+41.21114884535,945679677489101312,174.6820211085,16.7119977971,1.8744,-2.550,-8.074,122,16.540247,1.803675,1.0,NGC_2281,Gaia DR2 945679677489101312,101.75913616613,+41.21118360840
92,101.81518415048,+40.86248684573,945659336523536768,175.0364325740,16.6221177921,1.8291,-2.898,-8.306,148,17.969816,2.354917,1.0,NGC_2281,Gaia DR2 945659336523536768,101.81520064897,+40.86252260767
93,101.57282311866,+40.98433792126,945670748252971392,174.8473880075,16.4974280876,1.8717,-3.034,-8.587,126,12.733111,0.783369,1.0,NGC_2281,Gaia DR2 945670748252971392,101.57284042328,+40.98437489306
94,101.23061816389,+40.59341217262,945623915929869696,175.1236934740,16.1106173073,2.1469,-2.501,-8.773,117,14.595238,1.303094,0.6,NGC_2281, ,101.23063234478,+40.59344994526
95,101.32139190534,+40.75508482448,945644050736354304,174.9947717136,16.2353024953,1.8519,-2.741,-8.325,148,15.398233,1.398353,1.0,NGC_2281,Gaia DR2 945644050736354304,101.32140748478,+40.75512066823
96,101.82543840796,+41.00012489601,945662570635442944,174.9059974312,16.6803230818,1.9358,-2.732,-8.488,129,13.722900,0.947188,1.0,NGC_2281,Gaia DR2 945662570635442944,101.82545399383,+41.00016144156
97,101.93670286864,+41.01008255943,945662089599101952,174.9287506410,16.7620210963,1.9080,-3.024,-8.988,121,15.327954,1.578316,1.0,NGC_2281,Gaia DR2 945662089599101952,101.93672012296,+41.01012125776
98,101.92002894015,+41.00676851173,945662123958840960,174.9271148770,16.7491042286,1.8110,-2.959,-8.198,108,15.497875,1.440622,1.0,NGC_2281,Gaia DR2 945662123958840960,101.92004582274,+41.00680380867
99,101.88299169020,+41.03912757380,945663051671777152,174.8849339066,16.7350932354,2.0421,-2.074,-8.057,131,15.484864,1.530926,1.0,NGC_2281,Gaia DR2 945663051671777152,101.88300352923,+41.03916226366
100,101.80047800197,+40.86739447888,945659336523542656,175.0273703671,16.6136108739,1.8231,-2.688,-8.804,139,16.873210,2.000658,0.9,NGC_2281, ,101.80049330605,+40.86743238499
