SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs
66,261.46969491333,-49.38533188522,5949690793571891328,340.6456925541,-7.7495220446,1.0258,-2.650,-5.144,183,16.821249,1.463383,0.9,IC_4651, ,261.46971244062,-49.38530973744
67,261.48594766746,-49.37016037085,5949690621773202304,340.6643524865,-7.7500557875,1.0756,-2.337,-4.938,163,14.615168,0.943027,0.9,IC_4651, ,261.48596311978,-49.37013911002
68,261.48711961640,-49.45223868253,5949684093422269824,340.5954817387,-7.7956738897,1.0279,-2.676,-5.316,221,13.847862,0.800309,1.0,IC_4651,Gaia DR2 5949684093422269824,261.48713733980,-49.45221579420
69,261.40687249828,-49.31851154094,5949691755644638080,340.6794134074,-7.6786485009,0.9829,-2.345,-5.019,154,13.982979,0.822017,0.9,IC_4651, ,261.40688798723,-49.31848993136
70,261.20154445152,-49.41455974245,5949696188051408512,340.5242760028,-7.6197989955,1.0868,-2.515,-4.644,208,17.497290,1.716349,0.5,IC_4651, ,261.20156109582,-49.41453974745
71,261.58541172114,-49.32958517451,5949689483571192576,340.7344280331,-7.7820523579,1.0235,-2.554,-5.199,187,13.479571,0.759864,1.0,IC_4651,Gaia DR2 5949689483571192576,261.58542859435,-49.32956278993
72,261.55244688365,-49.42219154666,5949687494999961088,340.6443393087,-7.8147640646,1.0882,-2.212,-4.926,182,17.857075,1.277092,0.6,IC_4651, ,261.55246152497,-49.42217033749
73,261.69980812683,-49.81126643824,5949394853142866944,340.3679189860,-8.1072571501,1.1409,-3.332,-4.960,195,16.901066,1.570401,0.7,IC_4651, ,261.69983035825,-49.81124508268
74,261.81750348110,-49.85603333812,5949393852379988736,340.3717401024,-8.1953070565,0.8893,-2.438,-4.980,218,16.452988,1.387265,0.6,IC_4651, ,261.81751976274,-49.85601189645
75,261.69756725188,-49.78718106429,5949395162380524928,340.3875177608,-8.0929145084,1.0229,-2.209,-5.079,174,12.726481,0.698937,1.0,IC_4651,Gaia DR2 5949395162380524928,261.69758198321,-49.78715919637
76,261.73683779971,-49.75955587734,5949395437258432640,340.4248739835,-8.0991227860,1.1074,-2.243,-5.007,191,15.296772,1.053470,1.0,IC_4651,Gaia DR2 5949395437258432640,261.73685274926,-49.75953431942
77,261.64012840048,-49.89318659175,5949392894637755648,340.2773618392,-8.1196791487,0.9846,-2.435,-4.993,173,13.695420,0.796792,0.9,IC_4651, ,261.64014467460,-49.89316509411
